Description,Package,Value,LCSC Part Number,Quantity
J1,TYPE-C-31-M-12,USBC connector,C165948,1
"CX1, CX2",0805,22pF,C1804,2
"CESD1, CSH1, CRST2, CUSB1",0805,4.7nF,C77063,3
CRST1,0805,10uF,C15850,1
F1,0805,1.5A trip fuse,C20979,1
"RSH1, RESD1",1206,1MΩ ,C308486,2
Q1,SOIC-8,AO4406AL,C35349,1
"CSI1, CSO1, CVB1-3, CB1, CA1",0805,100nF,C111492,7
CVB4,0805,1uF,C141772,1
CVB5,0805,10nF,C58456,1
CVB6,0805,4.7uF,C37818,1
DF1,SOD-123,RB060M-60TR,C114257,1
QRST1,SOT-23,DTC123JKAT146,C111724,1
RCC1,1206,5.1kΩ ,C352054,1
"RDP1, RDM1",1206,22Ω ,C17958,2
RPU1,1206,1.5kMΩ ,C212489,1
"RPG1, RA1-2, RB1-2",1206,10kΩ ,C328409,5
RRST1,1206,100kΩ ,C212480,1
RSG1,1206,100Ω ,C319959,1
SRST1, SPST-NO,K2-1187SQ-A4SW-06,C92584,1
U1,LQFP48,STM32F303CCT6,C81523,1
U2,SOT-23,MCP1700-330,C39051,1
Y1,4-pin 5032,8MHz XTAL,C251594,1
RGB1-8,5050,WS2812B,C114585,8
RL1-48,1206,360Ω,C25376,48
"D1-48, DS1, DRST1, DLDO1",SOD-123,1N4148W,C181134,51
DESD1,SOD-123,1N4007W,C108803,1
ROT1,-,EC11E15244G1,C370970,1
U3,SOT-23-6,USBLC6-2SC6,C7519,1
